2014,2015,2016,2017,2018,2019,2020,2021
68.0,607.0,298.0,301.0,292.0,96.0,93.0,395.0
221.0,259.0,284.0,81.0,580.0,296.0,298.0,401.0
252.0,256.0,120.0,78.0,556.0,304.0,297.0,401.0
74.0,84.0,341.0,293.0,274.0,342.0,96.0,752.0
596.0,345.0,309.0,342.0,101.0,115.0,484.0,481.0
305.0,361.0,121.0,131.0,397.0,389.0,625.0,231.0
94.0,96.0,350.0,343.0,377.0,396.0,176.0,797.0
306.0,333.0,344.0,84.0,115.0,703.0,337.0,352.0
303.0,83.0,661.0,354.0,276.0,368.0,142.0,119.0
75.0,289.0,275.0,312.0,294.0,88.0,630.0,351.0
302.0,281.0,77.0,81.0,603.0,273.0,294.0,
555.0,212.0,579.0,708.0,597.0,559.0,310.0,
519.0,267.0,272.0,318.0,12.0,90.0,603.0,391.0
273.0,290.0,87.0,582.0,286.0,306.0,303.0,143.0
255.0,294.0,86.0,589.0,310.0,258.0,327.0,174.0
98.0,611.0,312.0,270.0,319.0,88.0,591.0,441.0
346.0,354.0,300.0,96.0,85.0,753.0,524.0,455.0
345.0,131.0,109.0,887.0,357.0,391.0,307.0,254.0
94.0,727.0,327.0,314.0,425.0,107.0,688.0,406.0
298.0,302.0,68.0,78.0,763.0,326.0,361.0,372.0
88.0,85.0,316.0,332.0,321.0,319.0,116.0,613.0
587.0,226.0,309.0,86.0,89.0,12.0,352.0,353.0
272.0,273.0,64.0,595.0,339.0,306.0,406.0,
86.0,90.0,309.0,374.0,320.0,358.0,125.0,
293.0,255.0,255.0,112.0,105.0,567.0,355.0,407.0
270.0,57.0,18.0,323.0,251.0,258.0,272.0,142.0
252.0,94.0,632.0,273.0,301.0,284.0,99.0,125.0
572.0,340.0,282.0,299.0,68.0,83.0,344.0,385.0
284.0,323.0,97.0,89.0,656.0,343.0,517.0,484.0
94.0,142.0,831.0,471.0,334.0,404.0,326.0,214.0
787.0,369.0,341.0,381.0,119.0,116.0,421.0,415.0
264.0,317.0,89.0,666.0,368.0,301.0,401.0,112.0
88.0,681.0,312.0,298.0,354.0,92.0,635.0,350.0
273.0,201.0,291.0,115.0,80.0,678.0,338.0,369.0
296.0,87.0,611.0,303.0,275.0,279.0,137.0,
72.0,677.0,264.0,290.0,300.0,85.0,795.0,
255.0,254.0,271.0,106.0,564.0,323.0,307.0,430.0
,,608.0,,,,35.0,
73.0,60.0,309.0,263.0,327.0,265.0,91.0,787.0
296.0,294.0,307.0,123.0,84.0,618.0,330.0,417.0
295.0,333.0,97.0,709.0,316.0,336.0,502.0,180.0
112.0,127.0,420.0,381.0,376.0,96.0,246.0,961.0
441.0,333.0,369.0,116.0,97.0,713.0,416.0,398.0
343.0,110.0,657.0,336.0,313.0,332.0,179.0,129.0
659.0,307.0,299.0,318.0,79.0,90.0,371.0,337.0
275.0,224.0,117.0,96.0,652.0,304.0,319.0,435.0
84.0,76.0,294.0,268.0,261.0,341.0,85.0,
608.0,390.0,252.0,311.0,84.0,95.0,394.0,
254.0,283.0,73.0,624.0,301.0,294.0,275.0,123.0
82.0,550.0,265.0,251.0,81.0,68.0,552.0,421.0
304.0,294.0,107.0,128.0,612.0,372.0,310.0,425.0
338.0,92.0,652.0,381.0,295.0,333.0,272.0,169.0
